DTR,PT_TENEMENT_NUMBER,PROPERTY_TYPE,USAGE_CODE,BUILDING_TYPE,COUNT_OF_FLOOR,CONST_YR,AREA,ADDRESS,Meter No.,Account No. ,Latitude,Longittude
Shyam Ved DTR,02345721310001D,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/205 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008967,75107201113,23.0330584,72.6658198
Shyam Ved DTR,02345721330001O,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/206 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008968,75107201121,23.0330584,72.6658198
Shyam Ved DTR,02345721350001C,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/301 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008969,75107201130,23.0330584,72.6658198
Shyam Ved DTR,02345721370001N,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/302 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008970,75107201148,23.0330584,72.6658198
Shyam Ved DTR,02345721390001B,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/303 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382323",USS 0008971,75107201156,23.0330584,72.6658198
Shyam Ved DTR,02345721410001T,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/304 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008972,75107201164,23.0330584,72.6658198
Shyam Ved DTR,02345721430001H,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/305 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008973,75107201172,23.0330584,72.6658198
Shyam Ved DTR,02345721440001B,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/306 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008974,75107201180,23.0330584,72.6658198
Shyam Ved DTR,02345721450001S,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/401 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008975,75107201199,23.0330584,72.6658198
Shyam Ved DTR,02345721470001G,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/402 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008976,75107201202,23.0330584,72.6658198
Shyam Ved DTR,02345721490001R,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/403 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008977,75107201210,23.0330584,72.6658198
Shyam Ved DTR,02345721510001M,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/404 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008978,75107201229,23.0330584,72.6658198
Shyam Ved DTR,02345721530001A,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/405 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008979,75107201253,23.0330584,72.6658198
Shyam Ved DTR,02345721550001L,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/406 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008980,75107201237,23.0330584,72.6658198
Shyam Ved DTR,02345721580001Q,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/504 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008981,75107201245,23.0330584,72.6658198
Shyam Ved DTR,02345721590001K,RESIDENTIAL,4,FLAT,1,2014,52.65,"A/505 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008982,75107201261,23.0330584,72.6658198
Shyam Ved DTR,02345721610001F,RESIDENTIAL,4,FLAT,1,2014,55.94,"A/506 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008983,75107201270,23.0330584,72.6658198
Shyam Ved DTR,02345721710001V,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/101 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008984,75107201288,23.0330584,72.6658198
Shyam Ved DTR,02345721730001J,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/102 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008985,75107201296,23.0330584,72.6658198
Shyam Ved DTR,02345721750001U,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/103 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008986,75107201300,23.0330584,72.6658198
Shyam Ved DTR,02345721770001I,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/104 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008987,75107201318,23.0330584,72.6658198
Shyam Ved DTR,02345721790001T,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/201 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008988,75107201326,23.0330584,72.6658198
Shyam Ved DTR,02345721810001O,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/202 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008989,75107201334,23.0330584,72.6658198
Shyam Ved DTR,02345721830001C,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/203 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008990,75107201342,23.0330584,72.6658198
Shyam Ved DTR,02345721850001N,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/204 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008991,75107201350,23.0330584,72.6658198
Shyam Ved DTR,02345721870001B,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/301 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008992,75107201369,23.0330584,72.6658198
Shyam Ved DTR,02345721890001M,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/302 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008993,75107201377,23.0330584,72.6658198
Shyam Ved DTR,02345721910001H,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/303 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008994,75107201385,23.0330584,72.6658198
Shyam Ved DTR,02345721930001S,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/304 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008995,75107201393,23.0330584,72.6658198
Shyam Ved DTR,02345721950001G,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/401 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008996,75107201407,23.0330584,72.6658198
Shyam Ved DTR,02345721970001R,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/402 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008997,75107201415,23.0330584,72.6658198
Shyam Ved DTR,02345721990001F,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/403 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008998,75107201423,23.0330584,72.6658198
Shyam Ved DTR,02345722010001Q,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/404 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0008999,75107201431,23.0330584,72.6658198
Shyam Ved DTR,02345722030001E,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/501 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009000,75107201440,23.0330584,72.6658198
Shyam Ved DTR,02345722050001P,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/502 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009001,75107201458,23.0330584,72.6658198
Shyam Ved DTR,02345722070001D,RESIDENTIAL,4,FLAT,1,2014,43.78,"B/503 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009002,75107201466,23.0330584,72.6658198
Shyam Ved DTR,02345722090001O,RESIDENTIAL,4,FLAT,1,2014,49.81,"B/504 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009003,75107201474,23.0330584,72.6658198
Shyam Ved DTR,02345722110001J,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/101 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009004,75107201482,23.0330584,72.6658198
Shyam Ved DTR,02345722130001U,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/102 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009005,75107201490,23.0330584,72.6658198
Shyam Ved DTR,02345722150001I,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/103 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009006,75107201504,23.0330584,72.6658198
Shyam Ved DTR,02345722170001T,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/104 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009007,75107201512,23.0330584,72.6658198
Shyam Ved DTR,02345722190001H,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/201 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009008,75107201520,23.0330584,72.6658198
Shyam Ved DTR,02345722210001C,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/202 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009009,75107201539,23.0330584,72.6658198
Shyam Ved DTR,02345722230001N,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/203 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009010,75107201547,23.0330584,72.6658198
Shyam Ved DTR,02345722250001B,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/204 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009011,75107201555,23.0330584,72.6658198
Shyam Ved DTR,02345722270001M,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/301 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009012,75107201563,23.0330584,72.6658198
Shyam Ved DTR,02345722290001A,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/302 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009013,75107201571,23.0330584,72.6658198
Shyam Ved DTR,02345722310001S,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/303 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009014,75107201580,23.0330584,72.6658198
Shyam Ved DTR,02345722330001G,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/304 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009015,75107201598,23.0330584,72.6658198
Shyam Ved DTR,02345722350001R,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/401 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009016,75107201601,23.0330584,72.6658198
Shyam Ved DTR,02345722370001F,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/402 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009017,75107201610,23.0330584,72.6658198
Shyam Ved DTR,02345722390001Q,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/403 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009018,75107201628,23.0330584,72.6658198
Shyam Ved DTR,02345722410001L,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/404 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009019,75107201636,23.0330584,72.6658198
Shyam Ved DTR,02345722440001Q,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/501 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009020,75107201644,23.0330584,72.6658198
Shyam Ved DTR,02345722450001K,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/502 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009021,75107201652,23.0330584,72.6658198
Shyam Ved DTR,02345722470001V,RESIDENTIAL,4,FLAT,1,2014,43.78,"C/503 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009022,75107201660,23.0330584,72.6658198
Shyam Ved DTR,02345722480001P,RESIDENTIAL,4,FLAT,1,2014,49.81,"C/504 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009023,75107201679,23.0330584,72.6658198
Shyam Ved DTR,02345722490001J,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/101 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009024,75107201687,23.0330584,72.6658198
Shyam Ved DTR,02345722510001E,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/102 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009025,75107201695,23.0330584,72.6658198
Shyam Ved DTR,02345722530001P,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/103 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009026,75107201709,23.0330584,72.6658198
Shyam Ved DTR,02345722550001D,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/104 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009027,75107201717,23.0330584,72.6658198
Shyam Ved DTR,02345722570001O,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/201 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009028,75107201725,23.0330584,72.6658198
Shyam Ved DTR,02345722590001C,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/202 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009029,75107201733,23.0330584,72.6658198
Shyam Ved DTR,02345722610001U,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/203 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009030,75107201741,23.0330584,72.6658198
Shyam Ved DTR,02345722630001I,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/204 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009031,75107201750,23.0330584,72.6658198
Shyam Ved DTR,02345722650001T,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/301 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009032,75107201768,23.0330584,72.6658198
Shyam Ved DTR,02345722670001H,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/302 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009033,75107201776,23.0330584,72.6658198
Shyam Ved DTR,02345722690001S,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/303 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009034,75107201784,23.0330584,72.6658198
Shyam Ved DTR,02345722710001N,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/304 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009035,75107201792,23.0330584,72.6658198
Shyam Ved DTR,02345722730001B,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/401 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009036,75107201806,23.0330584,72.6658198
Shyam Ved DTR,02345722750001M,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/402 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009037,75107201814,23.0330584,72.6658198
Shyam Ved DTR,02345722770001A,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/403 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009038,75107201822,23.0330584,72.6658198
Shyam Ved DTR,02345722790001L,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/404 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009039,75107201830,23.0330584,72.6658198
Shyam Ved DTR,02345722810001G,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/501 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009040,75107201849,23.0330584,72.6658198
Shyam Ved DTR,02345722830001R,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/502 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009041,75107201857,23.0330584,72.6658198
Shyam Ved DTR,02345722850001F,RESIDENTIAL,4,FLAT,1,2014,32.6,"D/503 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009042,75107201865,23.0330584,72.6658198
Shyam Ved DTR,02345722870001Q,RESIDENTIAL,4,FLAT,1,2014,33.95,"D/504 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009043,75107201873,23.0330584,72.6658198
Shyam Ved DTR,02345722890001E,RESIDENTIAL,4,FLAT,1,2014,33.95,"E/101 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009044,75107201881,23.0330584,72.6658198
Shyam Ved DTR,02345722920001Q,RESIDENTIAL,4,FLAT,1,2014,32.6,"E/102 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009045,75107201890,23.0330584,72.6658198
Shyam Ved DTR,02345722930001K,RESIDENTIAL,4,FLAT,1,2014,32.6,"E/103 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009046,75107201903,23.0330584,72.6658198
Shyam Ved DTR,02345722950001V,RESIDENTIAL,4,FLAT,1,2014,33.95,"E/104 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009047,75107201911,23.0330584,72.6658198
Shyam Ved DTR,02345722970001J,RESIDENTIAL,4,FLAT,1,2014,33.95,"E/201 SHYAM VED ELEGANCE , OPP. VRUNDAVAN BUNGLOWS ,NAVA NARODA AHMEDABAD AHMEDABAD GUJARAT INDIA,382330",USS 0009048,75107201920,23.0330584,72.6658198
